Município	Cap I	Total
430020 Ajuricaba	2	2
430030 Alecrim	1	1
430040 Alegrete	25	25
430045 Alegria	1	1
430050 Alpestre	1	1
430060 Alvorada	96	96
430064 Ametista do Sul	1	1
430070 Anta Gorda	1	1
430080 Antônio Prado	2	2
430085 Arambaré	1	1
430087 Araricá	1	1
430090 Aratiba	1	1
430100 Arroio do Meio	3	3
430107 Arroio do Padre	1	1
430105 Arroio do Sal	2	2
430120 Arroio do Tigre	3	3
430110 Arroio dos Ratos	7	7
430130 Arroio Grande	8	8
430140 Arvorezinha	1	1
430150 Augusto Pestana	4	4
430155 Áurea	2	2
430160 Bagé	40	40
430163 Balneário Pinhal	9	9
430170 Barão de Cotegipe	2	2
430175 Barão do Triunfo	1	1
430185 Barra do Guarita	1	1
430187 Barra do Quaraí	1	1
430190 Barra do Ribeiro	4	4
430192 Barra do Rio Azul	2	2
430195 Barra Funda	1	1
430200 Barros Cassal	2	2
430210 Bento Gonçalves	12	12
430220 Boa Vista do Buricá	1	1
430230 Bom Jesus	2	2
430235 Bom Princípio	3	3
430240 Bom Retiro do Sul	2	2
430245 Boqueirão do Leão	1	1
430250 Bossoroca	1	1
430260 Braga	1	1
430265 Brochier	2	2
430270 Butiá	4	4
430280 Caçapava do Sul	11	11
430290 Cacequi	8	8
430300 Cachoeira do Sul	20	20
430310 Cachoeirinha	41	41
430350 Camaquã	15	15
430367 Campestre da Serra	2	2
430370 Campina das Missões	1	1
430380 Campinas do Sul	2	2
430390 Campo Bom	17	17
430400 Campo Novo	3	3
430420 Candelária	6	6
430435 Candiota	3	3
430440 Canela	8	8
430450 Canguçu	10	10
430460 Canoas	187	187
430463 Capão da Canoa	23	23
430466 Capão do Leão	8	8
430469 Capitão	1	1
430467 Capivari do Sul	1	1
430470 Carazinho	19	19
430480 Carlos Barbosa	1	1
430490 Casca	3	3
430510 Caxias do Sul	90	90
430511 Centenário	1	1
430512 Cerrito	1	1
430513 Cerro Branco	2	2
430517 Cerro Grande do Sul	3	3
430520 Cerro Largo	4	4
430530 Chapada	3	3
430535 Charqueadas	12	12
430545 Cidreira	7	7
430558 Colinas	1	1
430580 Constantina	1	1
430585 Coqueiros do Sul	1	1
430587 Coronel Barros	1	1
430590 Coronel Bicaco	2	2
430600 Crissiumal	3	3
430605 Cristal	2	2
430610 Cruz Alta	40	40
430620 Cruzeiro do Sul	2	2
430632 Derrubadas	1	1
430635 Dezesseis de Novembro	2	2
430640 Dois Irmãos	6	6
430650 Dom Feliciano	2	2
430660 Dom Pedrito	20	20
430670 Dona Francisca	2	2
430676 Eldorado do Sul	10	10
430680 Encantado	5	5
430690 Encruzilhada do Sul	6	6
430695 Entre Rios do Sul	3	3
430693 Entre-Ijuís	3	3
430697 Erebango	2	2
430700 Erechim	26	26
430745 Esperança do Sul	2	2
430750 Espumoso	6	6
430760 Estância Velha	5	5
430770 Esteio	45	45
430780 Estrela	8	8
430783 Eugênio de Castro	3	3
430790 Farroupilha	14	14
430800 Faxinal do Soturno	2	2
430805 Faxinalzinho	1	1
430807 Fazenda Vilanova	1	1
430810 Feliz	2	2
430820 Flores da Cunha	3	3
430840 Formigueiro	2	2
430850 Frederico Westphalen	4	4
430860 Garibaldi	9	9
430870 Gaurama	2	2
430880 General Câmara	3	3
430890 Getúlio Vargas	2	2
430900 Giruá	3	3
430905 Glorinha	2	2
430910 Gramado	5	5
430915 Gramado Xavier	1	1
430920 Gravataí	99	99
430930 Guaíba	41	41
430940 Guaporé	4	4
430950 Guarani das Missões	5	5
430955 Harmonia	2	2
430957 Herveiras	1	1
430960 Horizontina	1	1
430965 Hulha Negra	2	2
430975 Ibarama	1	1
430980 Ibiaçá	2	2
430995 Ibirapuitã	2	2
431000 Ibirubá	7	7
431010 Igrejinha	13	13
431020 Ijuí	12	12
431030 Ilópolis	1	1
431033 Imbé	6	6
431046 Ipiranga do Sul	1	1
431050 Iraí	3	3
431053 Itaara	1	1
431055 Itacurubi	1	1
431060 Itaqui	11	11
431070 Itatiba do Sul	3	3
431080 Ivoti	4	4
431085 Jaboticaba	1	1
431087 Jacuizinho	1	1
431090 Jacutinga	1	1
431100 Jaguarão	5	5
431110 Jaguari	5	5
431113 Jari	1	1
431120 Júlio de Castilhos	5	5
431130 Lagoa Vermelha	5	5
431140 Lajeado	13	13
431142 Lajeado do Bugre	1	1
431150 Lavras do Sul	1	1
431160 Liberato Salzano	2	2
431162 Lindolfo Collor	1	1
431171 Maçambará	1	1
431170 Machadinho	1	1
431175 Manoel Viana	1	1
431177 Maquiné	1	1
431179 Maratá	2	2
431180 Marau	1	1
431205 Marques de Souza	1	1
431210 Mata	2	2
431215 Mato Leitão	2	2
431217 Mato Queimado	1	1
431220 Maximiliano de Almeida	2	2
431225 Minas do Leão	6	6
431230 Miraguaí	1	1
431235 Montauri	1	1
431238 Monte Belo do Sul	1	1
431240 Montenegro	23	23
431245 Morro Redondo	3	3
431247 Morro Reuter	1	1
431250 Mostardas	3	3
431265 Não-Me-Toque	1	1
431270 Nonoai	3	3
431275 Nova Alvorada	1	1
431280 Nova Araçá	1	1
431290 Nova Bassano	2	2
431303 Nova Esperança do Sul	1	1
431306 Nova Hartz	6	6
431320 Nova Petrópolis	2	2
431330 Nova Prata	7	7
431335 Nova Roma do Sul	2	2
431337 Nova Santa Rita	9	9
431349 Novo Barreiro	1	1
431340 Novo Hamburgo	104	104
431344 Novo Tiradentes	1	1
431350 Osório	16	16
431365 Palmares do Sul	2	2
431370 Palmeira das Missões	5	5
431390 Panambi	3	3
431395 Pantano Grande	7	7
431402 Paraíso do Sul	4	4
431403 Pareci Novo	1	1
431405 Parobé	12	12
431407 Passo do Sobrado	1	1
431410 Passo Fundo	57	57
431413 Paulo Bento	1	1
431415 Paverama	1	1
431420 Pedro Osório	2	2
431430 Pejuçara	1	1
431440 Pelotas	101	101
431442 Picada Café	1	1
431446 Pinhal da Serra	1	1
431450 Pinheiro Machado	2	2
431455 Pirapó	1	1
431470 Planalto	1	1
431480 Portão	9	9
431490 Porto Alegre	633	633
431500 Porto Lucena	2	2
431505 Porto Mauá	1	1
431510 Porto Xavier	4	4
431515 Progresso	2	2
431520 Putinga	1	1
431530 Quaraí	3	3
431535 Quinze de Novembro	2	2
431540 Redentora	2	2
431550 Restinga Sêca	4	4
431560 Rio Grande	116	116
431570 Rio Pardo	7	7
431575 Riozinho	1	1
431580 Roca Sales	4	4
431590 Rodeio Bonito	1	1
431600 Rolante	5	5
431610 Ronda Alta	1	1
431620 Rondinha	2	2
431630 Roque Gonzales	1	1
431640 Rosário do Sul	18	18
431645 Salto do Jacuí	1	1
431647 Salvador das Missões	1	1
431710 Sant'Ana do Livramento	32	32
431670 Santa Bárbara do Sul	4	4
431680 Santa Cruz do Sul	35	35
431697 Santa Margarida do Sul	1	1
431690 Santa Maria	93	93
431695 Santa Maria do Herval	2	2
431720 Santa Rosa	17	17
431730 Santa Vitória do Palmar	4	4
431700 Santana da Boa Vista	1	1
431740 Santiago	17	17
431750 Santo Ângelo	22	22
431760 Santo Antônio da Patrulha	9	9
431770 Santo Antônio das Missões	2	2
431780 Santo Augusto	4	4
431790 Santo Cristo	2	2
431795 Santo Expedito do Sul	1	1
431800 São Borja	17	17
431810 São Francisco de Assis	2	2
431820 São Francisco de Paula	4	4
431830 São Gabriel	13	13
431840 São Jerônimo	10	10
431842 São João da Urtiga	1	1
431848 São José do Hortêncio	2	2
431850 São José do Norte	6	6
431861 São José do Sul	1	1
431870 São Leopoldo	78	78
431880 São Lourenço do Sul	9	9
431890 São Luiz Gonzaga	10	10
431900 São Marcos	3	3
431935 São Pedro da Serra	1	1
431940 São Pedro do Sul	10	10
431950 São Sebastião do Caí	8	8
431960 São Sepé	3	3
431970 São Valentim	1	1
431980 São Vicente do Sul	2	2
431990 Sapiranga	11	11
432000 Sapucaia do Sul	57	57
432010 Sarandi	3	3
432023 Sede Nova	1	1
432026 Segredo	1	1
432030 Selbach	1	1
432035 Sentinela do Sul	2	2
432040 Serafina Corrêa	1	1
432055 Sertão Santana	4	4
432060 Severiano de Almeida	2	2
432070 Sobradinho	1	1
432080 Soledade	5	5
432085 Tabaí	2	2
432090 Tapejara	2	2
432100 Tapera	1	1
432110 Tapes	11	11
432120 Taquara	22	22
432130 Taquari	7	7
432132 Taquaruçu do Sul	1	1
432140 Tenente Portela	5	5
432143 Terra de Areia	2	2
432145 Teutônia	4	4
432146 Tio Hugo	2	2
432147 Tiradentes do Sul	1	1
432150 Torres	9	9
432160 Tramandaí	29	29
432162 Travesseiro	2	2
432170 Três Coroas	9	9
432180 Três de Maio	7	7
432183 Três Forquilhas	1	1
432190 Três Passos	6	6
432200 Triunfo	7	7
432210 Tucunduva	1	1
432220 Tupanciretã	6	6
432230 Tuparendi	1	1
432232 Turuçu	1	1
432234 Ubiretama	1	1
432240 Uruguaiana	56	56
432250 Vacaria	16	16
432260 Venâncio Aires	21	21
432270 Vera Cruz	3	3
432280 Veranópolis	12	12
432300 Viamão	117	117
432340 Vila Maria	2	2
432380 Xangri-lá	7	7
500020 Água Clara	2	2
500025 Alcinópolis	1	1
500060 Amambai	8	8
500070 Anastácio	7	7
500080 Anaurilândia	2	2
500090 Antônio João	2	2
500100 Aparecida do Taboado	8	8
500110 Aquidauana	15	15
500124 Aral Moreira	1	1
500150 Bandeirantes	1	1
500190 Bataguassu	2	2
500200 Batayporã	5	5
500210 Bela Vista	1	1
500215 Bodoquena	2	2
500220 Bonito	1	1
500230 Brasilândia	2	2
500240 Caarapó	5	5
500260 Camapuã	3	3
500270 Campo Grande	209	209
500280 Caracol	2	2
500290 Cassilândia	8	8
500295 Chapadão do Sul	2	2
500315 Coronel Sapucaia	4	4
500320 Corumbá	37	37
500325 Costa Rica	4	4
500330 Coxim	8	8
500345 Deodápolis	1	1
500348 Dois Irmãos do Buriti	2	2
500370 Dourados	48	48
500380 Fátima do Sul	4	4
500400 Glória de Dourados	3	3
500410 Guia Lopes da Laguna	1	1
500430 Iguatemi	1	1
500440 Inocência	1	1
500450 Itaporã	5	5
500460 Itaquiraí	3	3
500470 Ivinhema	3	3
500480 Japorã	2	2
500500 Jardim	5	5
500510 Jateí	1	1
500520 Ladário	8	8
500540 Maracaju	5	5
500560 Miranda	7	7
500568 Mundo Novo	5	5
500570 Naviraí	5	5
500580 Nioaque	2	2
500600 Nova Alvorada do Sul	3	3
500620 Nova Andradina	11	11
500627 Paraíso das Águas	1	1
500630 Paranaíba	19	19
500635 Paranhos	4	4
500640 Pedro Gomes	1	1
500660 Ponta Porã	11	11
500690 Porto Murtinho	7	7
500710 Ribas do Rio Pardo	2	2
500720 Rio Brilhante	4	4
500730 Rio Negro	2	2
500740 Rio Verde de Mato Grosso	11	11
500750 Rochedo	1	1
500755 Santa Rita do Pardo	2	2
500769 São Gabriel do Oeste	3	3
500780 Selvíria	2	2
500770 Sete Quedas	2	2
500790 Sidrolândia	4	4
500793 Sonora	2	2
500795 Tacuru	2	2
500800 Terenos	4	4
500830 Três Lagoas	31	31
500840 Vicentina	1	1
510020 Água Boa	8	8
510025 Alta Floresta	18	18
510030 Alto Araguaia	3	3
510050 Alto Paraguai	2	2
510060 Alto Taquari	3	3
510080 Apiacás	3	3
510125 Araputanga	6	6
510130 Arenápolis	1	1
510140 Aripuanã	4	4
510160 Barão de Melgaço	2	2
510170 Barra do Bugres	11	11
510180 Barra do Garças	25	25
510185 Bom Jesus do Araguaia	5	5
510190 Brasnorte	3	3
510250 Cáceres	28	28
510260 Campinápolis	7	7
510263 Campo Novo do Parecis	2	2
510267 Campo Verde	8	8
510270 Canarana	6	6
510279 Carlinda	1	1
510300 Chapada dos Guimarães	3	3
510320 Colíder	5	5
510325 Colniza	5	5
510330 Comodoro	4	4
510335 Confresa	1	1
510337 Cotriguaçu	1	1
510340 Cuiabá	136	136
510343 Curvelândia	2	2
510345 Denise	3	3
510350 Diamantino	7	7
510360 Dom Aquino	3	3
510370 Feliz Natal	1	1
510385 Gaúcha do Norte	3	3
510395 Glória D'Oeste	1	1
510410 Guarantã do Norte	13	13
510420 Guiratinga	3	3
510450 Indiavaí	2	2
510452 Ipiranga do Norte	1	1
510454 Itanhangá	1	1
510460 Itiquira	1	1
510480 Jaciara	6	6
510490 Jangada	4	4
510500 Jauru	3	3
510510 Juara	3	3
510515 Juína	11	11
510517 Juruena	1	1
510520 Juscimeira	3	3
510523 Lambari D'Oeste	3	3
510525 Lucas do Rio Verde	5	5
510560 Matupá	5	5
510562 Mirassol d'Oeste	5	5
510590 Nobres	8	8
510600 Nortelândia	1	1
510610 Nossa Senhora do Livramento	1	1
510620 Nova Brasilândia	2	2
510621 Nova Canaã do Norte	2	2
510618 Nova Lacerda	2	2
510890 Nova Maringá	2	2
510622 Nova Mutum	4	4
510617 Nova Nazaré	3	3
510623 Nova Olímpia	1	1
510624 Nova Ubiratã	2	2
510625 Nova Xavantina	6	6
510631 Novo Santo Antônio	1	1
510628 Novo São Joaquim	2	2
510629 Paranaíta	1	1
510630 Paranatinga	4	4
510637 Pedra Preta	6	6
510642 Peixoto de Azevedo	17	17
510650 Poconé	7	7
510675 Pontes e Lacerda	2	2
510677 Porto Alegre do Norte	2	2
510680 Porto dos Gaúchos	1	1
510682 Porto Esperidião	7	7
510700 Poxoréu	8	8
510704 Primavera do Leste	20	20
510718 Ribeirão Cascalheira	4	4
510760 Rondonópolis	63	63
510770 Rosário Oeste	10	10
510776 Santa Rita do Trivelato	1	1
510777 Santa Terezinha	3	3
510726 Santo Afonso	1	1
510780 Santo Antônio do Leverger	2	2
510785 São Félix do Araguaia	2	2
510730 São José do Rio Claro	2	2
510710 São José dos Quatro Marcos	1	1
510787 Sapezal	1	1
510790 Sinop	25	25
510792 Sorriso	13	13
510795 Tangará da Serra	24	24
510800 Tapurah	2	2
510805 Terra Nova do Norte	2	2
510840 Várzea Grande	82	82
510550 Vila Bela da Santíssima Trindade	4	4
510860 Vila Rica	3	3
520005 Abadia de Goiás	5	5
520010 Abadiânia	6	6
520013 Acreúna	7	7
520015 Adelândia	1	1
520017 Água Fria de Goiás	2	2
520020 Água Limpa	1	1
520025 Águas Lindas de Goiás	29	29
520030 Alexânia	9	9
520050 Aloândia	1	1
520060 Alto Paraíso de Goiás	4	4
520080 Alvorada do Norte	4	4
520082 Amaralina	2	2
520090 Amorinópolis	1	1
520110 Anápolis	135	135
520120 Anhanguera	2	2
520130 Anicuns	2	2
520140 Aparecida de Goiânia	134	134
520160 Araçu	2	2
520170 Aragarças	6	6
520180 Aragoiânia	2	2
520215 Araguapaz	3	3
520260 Aurilândia	1	1
520280 Avelinópolis	1	1
520320 Barro Alto	1	1
520330 Bela Vista de Goiás	6	6
520340 Bom Jardim de Goiás	4	4
520350 Bom Jesus de Goiás	7	7
520355 Bonfinópolis	4	4
520357 Bonópolis	1	1
520360 Brazabrantes	1	1
520380 Britânia	2	2
520390 Buriti Alegre	2	2
520393 Buriti de Goiás	2	2
520400 Cabeceiras	1	1
520410 Cachoeira Alta	3	3
520420 Cachoeira de Goiás	1	1
520430 Caçu	2	2
520440 Caiapônia	4	4
520450 Caldas Novas	24	24
520455 Caldazinha	1	1
520460 Campestre de Goiás	1	1
520465 Campinaçu	1	1
520470 Campinorte	4	4
520485 Campo Limpo de Goiás	3	3
520490 Campos Belos	3	3
520505 Castelândia	1	1
520510 Catalão	25	25
520520 Caturaí	1	1
520530 Cavalcante	3	3
520540 Ceres	9	9
520545 Cezarina	1	1
520549 Cidade Ocidental	11	11
520551 Cocalzinho de Goiás	6	6
520552 Colinas do Sul	2	2
520580 Corumbá de Goiás	4	4
520590 Corumbaíba	1	1
520620 Cristalina	13	13
520630 Cristianópolis	1	1
520640 Crixás	8	8
520660 Cumari	3	3
520670 Damianópolis	2	2
520680 Damolândia	1	1
520690 Davinópolis	2	2
520830 Divinópolis de Goiás	2	2
520725 Doverlândia	2	2
520735 Edealina	1	1
520740 Edéia	1	1
520750 Estrela do Norte	1	1
520760 Fazenda Nova	1	1
520780 Firminópolis	3	3
520790 Flores de Goiás	3	3
520800 Formosa	40	40
520815 Gameleira de Goiás	2	2
520840 Goianápolis	3	3
520850 Goiandira	2	2
520860 Goianésia	24	24
520870 Goiânia	451	451
520880 Goianira	14	14
520890 Goiás	3	3
520910 Goiatuba	18	18
520915 Gouvelândia	2	2
520920 Guapó	10	10
520929 Guaraíta	2	2
520940 Guarani de Goiás	3	3
520970 Hidrolândia	2	2
520980 Hidrolina	2	2
520990 Iaciara	2	2
520993 Inaciolândia	1	1
520995 Indiara	5	5
521000 Inhumas	20	20
521010 Ipameri	3	3
521020 Iporá	8	8
521040 Itaberaí	10	10
521056 Itaguari	1	1
521060 Itaguaru	3	3
521090 Itapaci	5	5
521100 Itapirapuã	3	3
521120 Itapuranga	13	13
521130 Itarumã	3	3
521140 Itauçu	4	4
521150 Itumbiara	43	43
521170 Jandaia	3	3
521180 Jaraguá	15	15
521190 Jataí	13	13
521200 Jaupaci	1	1
521210 Joviânia	5	5
521220 Jussara	5	5
521230 Leopoldo de Bulhões	1	1
521250 Luziânia	52	52
521270 Mambaí	1	1
521280 Mara Rosa	5	5
521295 Matrinchã	2	2
521300 Maurilândia	4	4
521308 Minaçu	5	5
521310 Mineiros	11	11
521350 Monte Alegre de Goiás	3	3
521370 Montes Claros de Goiás	1	1
521375 Montividiu	2	2
521377 Montividiu do Norte	2	2
521380 Morrinhos	19	19
521385 Morro Agudo de Goiás	2	2
521400 Mozarlândia	4	4
521405 Mundo Novo	2	2
521440 Nazário	5	5
521450 Nerópolis	4	4
521460 Niquelândia	9	9
521470 Nova América	1	1
521480 Nova Aurora	1	1
521486 Nova Glória	2	2
521487 Nova Iguaçu de Goiás	1	1
521490 Nova Roma	2	2
521500 Nova Veneza	3	3
521520 Novo Brasil	2	2
521523 Novo Gama	27	27
521525 Novo Planalto	1	1
521530 Orizona	5	5
521540 Ouro Verde de Goiás	2	2
521550 Ouvidor	7	7
521560 Padre Bernardo	11	11
521570 Palmeiras de Goiás	10	10
521590 Palminópolis	1	1
521630 Paranaiguara	4	4
521640 Paraúna	3	3
521680 Petrolina de Goiás	1	1
521710 Piracanjuba	3	3
521720 Piranhas	1	1
521730 Pirenópolis	12	12
521740 Pires do Rio	12	12
521760 Planaltina	27	27
521800 Porangatu	9	9
521805 Porteirão	2	2
521810 Portelândia	1	1
521830 Posse	9	9
521839 Professor Jamil	1	1
521850 Quirinópolis	14	14
521860 Rialma	6	6
521870 Rianápolis	5	5
521878 Rio Quente	1	1
521880 Rio Verde	42	42
521890 Rubiataba	4	4
521900 Sanclerlândia	2	2
521910 Santa Bárbara de Goiás	5	5
521925 Santa Fé de Goiás	2	2
521930 Santa Helena de Goiás	11	11
521935 Santa Isabel	1	1
521940 Santa Rita do Araguaia	1	1
521950 Santa Rosa de Goiás	2	2
521970 Santa Terezinha de Goiás	5	5
521973 Santo Antônio de Goiás	2	2
521975 Santo Antônio do Descoberto	11	11
522005 São João da Paraúna	1	1
522010 São Luís de Montes Belos	10	10
522020 São Miguel do Araguaia	6	6
522040 São Simão	8	8
522045 Senador Canedo	29	29
522050 Serranópolis	2	2
522060 Silvânia	4	4
522068 Simolândia	2	2
522070 Sítio d'Abadia	1	1
522119 Terezópolis de Goiás	1	1
522130 Três Ranchos	2	2
522140 Trindade	39	39
522145 Trombas	2	2
522150 Turvânia	3	3
522160 Uruaçu	17	17
522170 Uruana	6	6
522185 Valparaíso de Goiás	33	33
522190 Varjão	1	1
522200 Vianópolis	4	4
530010 Brasília	532	532
